"TN"	"TP"
"LC-001"	-41.2971698113207	9.94238736343603
"LC-002"	-41.2971698113207	14.2005096138279
"LC-003"	-49.9764150943396	14.3525854084848
"LC-004"	-80.3537735849056	10.2718849185259
"LC-005"	93.2311320754717	15.1383103475452
"LC-006"	58.5141509433963	11.7926428650944
"LC-007"	67.1933962264151	4.13816120069946
"LC-008"	-80.3537735849056	19.5231624268178
"LC-009"	71.5330188679246	37.924333580297
"LC-010"	62.8537735849057	10.8548421313771
"LC-011"	-54.316037735849	-0.956377920305123
"LC-012"	62.8537735849057	1.83167831507052
"LC-013"	-41.2971698113207	18.5346697615482
"LC-014"	67.1933962264151	6.52068198365683
"LC-015"	-58.6556603773584	12.1981783175127
"LC-016"	32.4764150943396	28.7237480035574
"LC-017"	-32.6179245283018	12.3502541121695
"LC-018"	84.5518867924529	-1.10845371496198
"LC-019"	-54.316037735849	33.9450169534427
"LC-020"	32.4764150943396	1.65425655463752
"LC-021"	62.8537735849057	37.3160304016696
"LC-022"	41.1556603773585	31.4357663416046
"WS01-000-BR"	54.1745283018868	19.0415890770711
"WS01-001-P"	80.2122641509434	33.8943250218904
"WS01-001-R"	84.5518867924529	18.6613995904289
"WS01-002-P"	149.646226415094	24.3895878558371
"WS01-002-R"	-54.316037735849	25.986383699734
"WS01-003-LI"	-54.316037735849	36.6063433599376
"WS01-003-P"	19.4575471698113	20.8918445787295
"WS01-003-R"	114.929245283019	23.8573225745381
"WS01-004-R"	119.268867924528	22.1591428675366
"WS01-005-P"	71.5330188679246	24.4402797873894
"WS01-005-R"	10.7783018867925	23.6292088825528
"WS01-006-P"	54.1745283018868	19.6752382214746
"WS01-006-R"	106.25	20.4863091263112
"WS01-007-P"	71.5330188679246	13.6175524009766
"WS01-007-R"	71.5330188679246	14.5553531346939
"WS01-008-P"	93.2311320754717	21.8042993466706
"WS01-008-R"	119.268867924528	23.0969436012538
"WS01-009-P"	NA	554.221656440314
"WS01-010-P"	84.5518867924529	23.7305927456574
"WS01-010-R"	88.8915094339623	18.0784423775777
"WS01-OUT-P"	67.1933962264151	23.2490193959107
"WS01-OUT-R"	71.5330188679246	21.9817211071036
